No,Index,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1,logTg,Series
257,BR_31,14,3.015,4.747,13.864,2.987,1,28.193,6.732,7.533,0.377,0.827,5.648,3.878,-0.697,12.599,2.5966,T
258,BR_32,20,2.98,4.954,14.036,3.08,1,37.076,6.784,7.538,0.548,0.735,5.604,4.075,0.148,14.354,2.5611,T
259,BR_33,16,3.818,4.64,14.964,3.004,1,34.585,6.7,7.677,0.708,0.859,5.743,4.205,0.41,23.679,2.5694,T
260,BR_34,14,3.74,4.635,14.769,2.997,1,35.902,6.666,7.636,0.691,0.829,5.737,4.199,0.897,23.344,2.5478,T
263,BR_37,27,3.668,4.166,15.285,3.392,1,37.915,7.514,8.585,0.245,0.869,6.035,4.311,-0.761,20.023,2.6503,T
265,BR_39,24,3.362,4.149,14.821,3.37,1,34.568,7.403,8.476,0.326,0.857,6.021,4.277,-1.262,17.814,2.5977,T
266,BR_40,19,3.667,4.17,15.345,3.418,1,33.9,7.205,8.189,0.276,0.929,5.852,4.304,0.061,18.741,2.6693,T
267,BR_41,18,3.359,3.935,14.543,3.223,1,28.133,7.109,8.112,0.31,0.961,5.988,4.236,-0.628,15.184,2.6075,T
268,BR_42,22,3.667,4.738,15.301,3.346,1,35.429,6.964,7.789,0.361,0.923,5.823,4.17,0.251,-999.0,2.6503,T
269,BR_43,25,3.362,3.957,14.83,3.37,1,36.433,7.407,8.473,0.445,0.853,6.02,4.29,-1.087,22.09,2.5988,T
270,BR_44,23,3.361,3.954,14.812,3.37,1,33.154,7.383,8.448,0.27,0.845,6.018,4.086,-1.203,17.324,2.659,T
271,BR_45,25,3.361,3.956,14.825,3.37,1,34.708,7.4,8.463,0.264,0.852,6.019,4.287,-0.967,18.022,2.6561,T
272,BR_46,24,3.19,4.77,14.483,3.243,1,37.226,7.077,7.961,0.525,0.817,5.754,4.13,-0.004,17.187,2.6599,T
274,BR_48,12,3.11,3.86,13.913,2.89,1,25.043,6.696,7.485,0.258,0.819,5.703,3.899,-0.251,12.226,2.5798,T
276,BR_50,12,3.051,3.75,13.969,3.145,1,27.92,6.617,7.366,0.544,0.716,5.732,4.202,-0.308,18.867,2.4983,T
277,BR_51,12,3.092,4.056,13.815,3.09,1,27.847,6.506,7.216,0.337,0.857,5.665,4.111,-0.154,16.211,2.5159,T
278,BR_52,12,3.125,4.032,13.969,3.145,1,27.847,6.572,7.273,0.337,0.716,5.7,4.125,-0.135,15.921,2.5051,T
279,BR_53,12,3.088,4.048,13.797,3.083,1,27.847,6.572,7.298,0.337,0.716,5.68,4.121,0.085,15.209,2.4983,T
280,BR_54,16,2.98,4.738,13.98,2.901,1,27.715,6.458,7.117,0.459,0.871,5.721,4.064,-0.196,-999.0,2.5159,T
281,BR_55,15,3.054,3.899,14.178,3.192,1,35.333,6.817,7.489,0.349,0.737,5.653,4.106,-0.156,19.323,2.5527,T
283,BR_57,12,3.017,3.908,13.998,3.138,1,32.889,6.77,7.455,0.362,0.575,5.63,3.882,-0.598,17.85,2.5478,T
284,BR_58,18,3.087,3.946,14.074,3.151,1,37.853,6.957,7.716,0.267,0.807,5.73,4.114,0.113,18.393,2.5587,T
287,BR_61,15,3.086,3.943,14.018,3.142,1,35.417,6.923,7.684,0.276,0.639,5.724,3.896,-0.695,17.519,2.5832,T
290,BR_64,21,3.046,4.769,14.276,3.146,1,44.857,7.101,7.881,0.468,0.674,5.655,3.9,0.026,19.728,2.618,T
291,BR_65,15,3.315,3.831,14.63,3.315,1,31.086,6.651,7.614,0.834,0.671,5.737,4.2,0.144,20.16,2.5999,T
292,BR_66,2,2.549,3.639,10.671,0.724,0,6.623,1.386,0.0,0.811,0.75,4.91,3.6,0.181,4.119,2.6128,T
293,BT10_122,7,2.848,3.867,13.068,2.303,0,13.907,5.12,4.977,1.366,0.875,5.763,4.069,0.112,4.107,2.5944,T
294,BT10_246,3,3.909,4.5,15.086,2.247,0,9.177,4.025,3.85,0.567,0.966,5.139,3.853,0.322,7.067,2.6232,T
295,BT10_250,0,1.414,1.414,0.0,-1.414,0,3.117,0.0,0.0,0.0,0.0,3.417,2.781,0.243,1.121,2.567,T
296,BWN_2,2,2.514,3.752,10.671,1.206,0,5.831,4.234,3.497,0.503,1.0,5.23,3.788,0.0,1.643,2.3579,T
297,BWN_16,2,2.783,3.422,11.229,1.414,0,5.334,4.174,3.367,0.0,1.0,5.275,3.806,0.107,1.95,2.5599,T
298,BWN_18,2,2.607,3.534,10.558,1.0,0,5.334,4.174,2.565,0.0,1.0,5.174,3.76,0.152,1.89,2.6117,T
299,BWN_20,1,2.0,2.0,7.624,-1.0,0,3.208,0.0,0.0,0.0,0.0,4.342,3.172,0.147,1.086,2.5729,T
300,BWN_28,2,2.732,3.314,11.023,1.0,0,5.334,4.043,3.219,0.0,0.93,5.105,3.721,0.215,2.027,2.2989,T
304,BWN_60,1,2.343,3.129,9.304,0.471,0,6.325,1.792,0.0,0.0,0.875,4.55,3.411,0.402,2.231,2.4031,T
305,BWN_89,1,2.532,3.671,10.729,1.455,0,7.137,2.197,1.946,0.684,1.0,4.231,3.467,0.398,4.467,2.2833,T
306,BWN_90,1,2.334,3.128,9.281,0.274,0,5.545,1.099,0.0,0.0,0.714,4.545,3.403,0.347,1.926,2.2742,T
307,BWN_92,1,2.303,3.114,9.153,0.0,0,4.766,0.0,0.0,0.0,0.333,4.533,3.382,0.257,1.612,2.2923,T
308,BWN_93,2,2.161,3.225,9.789,0.676,0,7.429,1.792,0.0,0.918,0.889,4.223,3.3,0.158,6.07,2.2945,T
309,BWN_95,1,2.531,3.67,10.722,0.0,0,3.325,1.099,0.0,0.918,0.667,4.053,3.455,0.079,2.44,2.3139,T
310,BWN_96,0,1.618,1.618,0.0,-0.618,0,3.896,0.0,0.0,0.0,0.4,4.105,3.054,0.183,1.424,2.3243,T
311,BWN_97,0,1.827,2.817,0.0,0.765,0,6.286,1.609,1.099,0.811,1.0,4.034,3.177,0.273,3.601,2.3284,T
312,BWN_98,2,2.629,2.953,10.624,0.14,0,5.636,0.0,0.0,0.0,0.327,4.711,3.469,0.316,1.947,2.3284,T
313,BWN_100,2,2.7,3.628,10.678,1.513,0,10.364,2.398,2.197,0.619,1.0,4.91,3.591,0.46,5.612,2.3444,T
314,BWN_103,2,2.7,3.628,10.678,1.414,0,9.584,2.303,2.079,0.65,1.0,4.91,3.591,0.439,4.695,2.3579,T
317,BWN_106,2,2.274,3.788,9.789,0.676,0,7.403,2.197,0.0,0.764,0.819,4.675,3.514,0.205,4.687,2.382,T
318,BWN_107,3,3.026,3.647,12.175,1.618,0,6.341,5.13,5.533,0.0,1.0,5.541,3.938,-0.116,2.373,2.3962,T
321,BWN_111,3,2.728,3.65,11.715,1.414,0,7.419,4.369,4.234,0.845,0.947,5.333,3.868,-0.019,2.872,2.4983,T
322,BWN_112,2,2.612,4.1,10.857,0.335,1,6.558,1.386,0.0,1.299,0.75,5.124,3.729,0.015,3.483,2.6767,T
323,BWN_113,2,2.811,3.591,11.409,1.466,0,6.125,4.317,3.714,0.469,1.0,5.276,3.825,0.044,3.506,2.6365,T
325,BWN_115,1,2.406,3.784,9.397,0.826,0,6.532,1.386,0.0,0.811,0.875,4.566,3.479,0.264,3.848,2.4346,T
326,BWN_116,2,2.63,3.638,10.777,1.834,0,10.909,4.477,4.357,0.337,1.0,5.221,3.803,0.366,5.36,2.444,T
327,BWN_117,3,2.57,3.681,11.033,1.267,0,9.831,2.485,1.946,0.65,0.907,4.921,3.615,0.365,6.161,2.444,T
328,BWN_119,2,2.695,3.55,11.439,1.702,0,11.684,4.489,4.263,0.323,1.0,5.281,3.84,0.485,6.396,2.4533,T
329,BWN_120,1,3.282,3.633,13.072,0.169,0,6.545,0.0,0.0,0.0,0.302,4.96,3.586,0.272,2.253,2.4564,T
330,BWN_121,2,2.63,3.638,10.777,1.605,0,8.589,4.443,4.29,0.391,1.0,5.221,3.803,0.172,4.071,2.4669,T
332,BWN_124,1,2.332,3.706,8.737,1.71,1,11.766,2.485,2.303,0.906,0.919,4.454,3.373,0.576,8.955,2.4857,T
333,BWN_125,1,2.521,3.473,10.061,1.284,0,6.01,2.833,2.197,0.0,0.88,4.352,3.352,0.568,2.935,2.4914,T
334,BWN_126,1,2.332,3.706,8.737,1.658,1,10.987,2.398,2.197,0.946,0.962,4.454,3.373,0.596,8.656,2.4955,T
336,BWN_128,2,2.563,3.598,10.777,1.605,0,8.589,4.443,4.29,0.391,1.0,5.224,3.809,0.231,4.731,2.4997,T
337,BWN_129,1,2.332,3.706,8.737,1.503,1,9.429,2.197,1.946,1.041,1.0,4.454,3.372,0.455,7.345,2.5051,T
339,BWN_132,2,2.928,4.524,13.244,0.65,0,8.351,0.0,0.0,0.918,0.319,5.164,3.827,0.042,2.78,2.5105,T
340,BWN_133,1,2.332,3.706,8.737,1.226,1,7.87,1.946,1.609,1.157,1.0,4.453,3.371,0.373,6.546,2.6284,T
341,BWN_134,3,2.563,3.599,10.9,2.132,0,9.452,4.454,4.344,0.371,0.962,5.225,3.81,0.235,5.184,2.5185,T
342,BWN_135,1,2.571,3.684,9.538,1.247,1,4.533,2.485,1.609,1.061,1.0,4.488,3.461,0.293,3.696,2.5185,T
343,BWN_136,2,2.563,3.598,10.777,1.427,0,7.817,4.431,4.234,0.414,1.0,5.224,3.809,0.166,4.412,2.525,T
344,BWN_137,3,2.554,3.654,10.826,1.211,0,8.299,2.303,0.0,0.881,0.9,4.92,3.611,0.2,6.44,2.5353,T
345,BWN_140,2,2.629,3.636,10.771,1.129,0,7.047,4.394,4.143,0.439,1.0,5.221,3.801,0.055,3.21,2.5428,T
348,BWN_144,3,2.782,3.561,11.362,1.287,0,6.957,4.419,4.29,0.0,0.947,5.262,3.815,0.214,2.611,2.5551,T
349,BWN_146,3,3.327,3.898,13.329,1.591,0,8.718,4.673,4.443,0.0,0.901,5.462,3.912,0.244,3.22,2.5563,T
350,BWN_147,3,2.82,3.66,11.597,1.477,0,7.137,4.466,4.043,0.439,1.0,5.376,3.877,0.09,3.661,2.5563,T
351,BWN_149,2,2.642,3.633,10.671,1.206,0,5.334,4.234,3.497,0.0,1.0,5.228,3.784,0.053,1.922,2.5599,T
353,BWN_155,2,2.828,3.575,11.409,1.466,0,6.099,4.317,3.714,0.0,1.0,5.276,3.823,0.132,2.316,2.5729,T
354,BWN_156,3,2.763,3.799,11.185,1.879,0,6.189,4.394,3.714,0.0,1.0,5.345,3.845,0.098,2.123,2.5752,T
355,BWN_157,1,2.413,3.407,9.976,1.0,1,4.508,4.043,3.219,0.544,1.0,5.098,3.772,0.138,2.089,2.5763,T
356,BWN_158,2,2.629,3.589,11.229,1.414,0,5.487,4.174,3.367,0.503,1.0,5.282,3.828,0.006,2.179,2.5763,T
357,BWN_159,6,3.056,3.763,13.016,2.303,0,9.542,5.011,4.577,0.961,0.834,5.779,4.106,0.02,3.492,2.5775,T
358,BWN_160,3,2.825,3.637,11.456,1.414,0,6.189,4.419,3.611,0.0,1.0,5.365,3.852,0.086,2.11,2.5775,T
359,BWN_162,3,2.793,3.708,11.523,1.531,0,6.342,4.419,3.611,0.469,1.0,5.38,3.883,0.052,2.404,2.5843,T
360,BWN_163,3,2.845,3.576,11.517,1.475,0,6.189,4.369,3.367,0.0,1.0,5.373,3.862,0.126,2.151,2.5843,T
361,BWN_164,3,2.772,3.811,11.49,1.458,0,7.933,4.533,4.71,0.65,1.0,5.338,3.859,0.008,4.647,2.5855,T
362,BWN_165,3,2.733,3.698,11.456,1.414,0,6.688,4.419,3.611,0.469,1.0,5.367,3.851,0.032,1.856,2.5866,T
364,BWN_170,1,2.17,4.046,8.507,-1.0,1,3.922,0.0,0.0,0.722,0.0,4.842,3.54,0.099,1.032,2.5944,T
365,BWN_171,3,2.77,3.425,11.271,1.235,0,6.189,4.344,3.611,0.0,1.0,5.3,3.823,0.101,2.146,2.5944,T
366,BWN_172,3,2.613,3.796,11.456,1.414,0,6.842,4.419,3.611,0.922,1.0,5.372,3.869,0.009,2.068,2.5955,T
368,BWN_174,3,2.562,3.802,11.456,1.414,0,7.188,4.419,3.611,0.722,1.0,5.368,3.86,-0.004,1.589,2.5999,T
375,BWN_182,2,2.504,3.624,10.558,1.0,0,6.023,4.263,3.219,0.503,1.0,5.219,3.786,-0.026,1.571,2.6191,T
376,BWN_183,3,2.804,3.709,11.517,1.475,0,6.688,4.369,3.367,0.469,1.0,5.375,3.857,0.08,1.861,2.6201,T
378,BWN_185,2,2.423,3.79,10.133,1.666,0,14.623,2.996,2.89,0.764,0.76,4.578,3.503,0.623,11.306,2.6212,T
379,BWN_186,2,2.423,3.79,10.133,1.917,0,23.974,3.466,3.526,0.567,0.796,4.58,3.505,1.429,15.579,2.3118,T
380,BWN_187,2,2.537,3.793,10.133,1.809,0,10.367,3.091,3.258,0.837,0.761,4.569,3.498,0.446,9.463,2.3365,T
381,BWN_188,2,2.546,3.798,10.135,1.618,0,8.049,2.944,3.296,0.918,0.721,4.63,3.516,0.328,7.668,2.3579,T
382,BWN_189,2,2.537,3.793,10.133,1.848,0,11.141,3.135,3.296,0.811,0.75,4.587,3.496,0.508,9.855,2.3674,T
383,BWN_190,3,3.509,4.87,15.826,3.15,1,24.83,5.024,5.451,1.528,0.881,5.59,4.1,0.194,15.177,2.3856,T
385,BWN_192,2,2.756,3.808,11.297,1.923,1,13.998,3.434,3.258,0.922,0.907,4.708,3.609,0.717,9.912,2.415,T
386,BWN_195,2,2.731,3.808,11.28,1.947,1,17.104,3.555,3.611,0.817,0.891,4.713,3.601,1.072,11.356,2.4955,T
387,BWN_196,3,2.848,3.605,11.523,1.531,0,6.189,4.317,3.045,0.0,1.0,5.334,3.833,0.171,2.09,2.5038,T
388,BWN_198,3,2.807,3.473,11.364,1.414,0,5.423,4.205,1.609,0.0,1.0,5.334,3.826,0.165,1.73,2.4742,T
389,BWN_199,2,2.734,3.809,11.297,1.875,1,10.896,3.296,3.258,1.061,0.906,4.717,3.611,0.516,8.347,2.5159,T
391,BWN_203,3,2.848,4.131,11.523,1.531,1,6.125,4.511,3.97,0.469,1.0,5.439,3.905,0.014,1.944,2.5478,T
393,BWN_205,4,2.935,3.539,11.898,1.618,0,6.278,4.394,2.565,0.0,0.699,5.449,3.878,0.211,1.896,2.5599,T
395,BWN_207,13,3.246,4.053,13.97,2.762,1,25.804,6.234,6.662,0.9,0.923,5.611,4.097,0.073,19.744,2.5911,T
396,BWN_208,4,2.931,4.504,13.511,2.401,0,13.838,5.193,5.313,1.054,0.977,5.382,3.894,0.039,8.047,2.6031,T
397,BWN_209,4,2.478,4.783,11.481,2.235,0,10.918,5.118,5.313,0.978,1.0,5.314,3.857,-0.094,6.8,2.6335,T
398,BWN_210,5,2.976,3.614,12.212,2.332,0,11.207,5.187,5.451,0.65,1.0,5.388,3.891,0.117,7.71,2.5888,T
399,BWN_211,4,3.556,4.384,13.991,2.408,0,12.849,5.293,5.673,0.61,1.0,5.497,3.949,-0.015,8.743,2.6053,T
400,BWN_212,4,3.56,4.387,14.003,2.41,0,13.61,5.323,5.714,0.592,1.0,5.497,3.951,0.105,9.187,2.6096,T
401,BWN_213,4,2.714,3.769,11.481,2.235,0,10.365,5.118,5.313,0.672,1.0,5.314,3.862,0.112,7.168,2.6128,T
403,BWN_215,6,3.036,3.848,12.353,2.429,0,12.931,5.549,5.889,0.575,1.0,5.478,3.759,-0.059,8.602,2.5977,T
404,BWN_216,4,3.607,4.639,14.144,2.417,0,15.135,5.398,5.838,0.559,0.942,5.496,3.964,0.219,10.266,2.6222,T
405,BWN_217,6,3.105,3.641,12.614,2.388,0,12.811,5.273,5.666,0.61,0.977,5.411,3.909,0.131,8.751,2.6243,T
406,BWN_218,4,3.616,4.644,14.171,2.421,0,12.228,5.407,5.883,0.592,0.957,5.495,3.97,0.235,8.855,2.6253,T
407,BWN_219,4,3.611,4.641,14.153,2.419,0,12.968,5.434,5.916,0.575,0.959,5.503,3.965,0.159,9.39,2.6435,T
408,BWN_220,4,3.967,4.873,15.546,2.595,0,18.02,5.476,6.066,1.273,0.849,5.688,4.09,-0.024,12.803,2.6474,T
409,BWN_221,5,3.666,4.38,14.321,2.454,0,14.544,5.707,6.267,0.544,1.0,5.621,4.016,-0.076,9.644,2.6522,T
410,BWN_222,8,3.152,3.778,13.304,2.303,0,12.511,5.254,5.247,1.0,0.844,5.839,4.142,0.018,4.176,2.6522,T
411,BWN_224,8,3.533,4.196,14.107,2.857,0,15.492,5.533,5.905,0.559,0.981,5.677,4.032,0.182,10.397,2.6693,T
412,BWN_225,3,2.751,3.518,11.364,1.414,0,5.448,4.205,2.197,0.503,1.0,5.325,3.824,0.101,3.718,2.6749,T
413,BWN_226,15,3.288,4.783,14.168,2.776,1,25.109,6.472,7.089,0.996,0.957,5.661,4.153,-0.23,17.354,2.683,T
415,BWN_229,6,3.746,4.685,14.558,2.529,0,12.647,5.572,6.151,0.559,1.0,5.546,3.848,0.262,9.486,2.699,T
416,BWN_230,16,3.288,4.131,14.238,2.984,1,25.412,6.509,7.138,0.887,0.958,5.69,4.154,-0.249,18.496,2.7033,T
418,BWN_232,15,3.288,4.131,14.197,2.891,1,23.852,6.497,7.151,0.857,0.956,5.687,4.154,-0.324,17.156,2.716,T
419,BWN_233,12,3.158,3.801,13.552,2.757,1,21.034,6.565,7.358,0.462,0.99,5.731,3.901,-0.125,10.824,2.716,T
420,BWN_234,16,3.339,3.746,14.099,2.793,1,27.715,7.076,8.04,0.377,0.977,6.098,4.081,-0.107,14.942,2.7332,T
421,BWN_235,12,3.174,3.864,13.622,2.747,1,21.034,6.51,7.397,0.462,0.99,5.757,3.914,0.303,11.282,2.7372,T
424,BWN_238,12,3.036,3.963,13.237,2.827,1,25.106,6.001,6.472,0.807,1.0,5.472,3.789,0.147,19.026,2.7657,T
425,BWN_239,12,3.299,4.108,13.94,2.895,1,16.941,6.146,6.845,0.985,1.0,5.733,3.951,-0.167,11.502,2.7731,T
426,BWN_240,11,3.276,4.104,13.84,2.684,1,16.278,6.075,6.673,1.006,1.0,5.65,3.933,-0.242,11.922,2.7825,T
427,BWN_241,16,3.355,3.883,14.204,2.867,1,27.715,7.062,8.116,0.377,0.959,6.118,4.092,0.267,15.037,2.7889,T
428,BWN_242,15,3.038,3.963,13.665,2.988,1,30.765,6.091,6.608,0.764,0.929,5.482,3.796,0.372,23.631,2.791,T
431,BWN_246,3,2.876,3.892,11.578,1.634,0,9.529,4.635,4.654,0.863,1.0,5.353,3.716,-0.011,7.186,2.828,T
432,BWN_247,1,2.499,3.464,9.976,1.0,0,4.483,3.932,2.565,0.0,1.0,5.034,3.52,0.122,1.685,2.5105,T
434,BWN_250,2,2.417,3.425,9.757,1.085,0,8.026,1.946,1.609,0.722,1.0,4.351,3.2,0.375,4.634,2.3802,T
436,BWN_252,5,3.187,3.824,12.811,1.947,0,11.232,5.398,5.989,0.764,1.0,5.658,3.868,-0.037,8.182,2.5366,T
440,BWN_256,3,2.884,3.854,11.578,1.863,1,12.382,4.673,4.727,0.986,1.0,5.35,3.718,0.086,9.409,2.6053,T
441,BWN_257,5,2.886,3.926,11.98,2.295,0,11.232,5.182,5.283,0.764,1.0,5.407,3.751,-0.041,8.199,2.6138,T
442,BWN_258,5,2.903,3.868,11.98,2.295,1,10.993,5.182,5.283,0.986,1.0,5.402,3.757,-0.152,7.702,2.7364,T
443,BWN_259,3,2.792,3.757,11.271,1.235,0,6.266,4.344,3.611,0.881,1.0,5.31,3.838,0.051,4.622,2.6232,T
444,BWN_260,4,3.51,4.132,13.85,2.296,0,13.61,5.193,5.509,0.592,0.978,5.468,3.743,0.151,9.842,2.5717,T
445,BWN_262,15,3.511,4.138,14.549,3.177,1,26.238,6.485,7.086,0.819,0.935,5.69,4.131,-0.316,18.371,2.6928,T
446,CAO_006,1,2.284,3.7,8.507,-1.0,0,4.039,0.0,0.0,0.971,0.0,4.418,3.274,0.14,2.047,2.5786,T
447,CAO_007,2,2.628,3.554,10.342,-1.0,0,4.909,0.0,0.0,0.918,0.0,4.893,3.544,0.116,2.352,2.4487,T
450,CAO_025,2,3.34,3.772,13.244,0.65,0,7.468,0.0,0.0,0.764,0.389,5.164,3.698,0.207,3.801,2.4983,T
451,CAO_026,2,2.699,3.628,10.677,1.0,0,7.247,1.946,0.0,0.764,0.889,4.909,3.589,0.258,3.741,2.3404,T
452,CAO_032,2,2.579,3.626,10.624,0.14,0,5.688,0.0,0.0,0.863,0.429,4.947,3.605,0.184,2.666,2.5775,T
453,CAO_033,2,2.594,3.628,10.671,0.724,0,6.468,1.946,0.0,0.811,0.75,4.952,3.621,0.256,3.064,2.5105,T
454,CAO_034,3,2.653,3.657,10.922,1.0,0,7.338,2.565,0.0,0.764,0.708,5.006,3.647,0.331,3.468,2.5145,T
456,CAO_036,2,2.597,3.629,10.677,1.0,0,7.753,2.398,0.0,1.224,0.889,4.954,3.626,0.214,3.006,2.5623,T
457,CAO_037,2,3.148,3.828,12.683,1.061,0,8.247,2.303,0.0,0.722,0.657,5.007,3.633,0.209,4.218,2.5798,T
460,CAO_052,2,2.598,3.628,10.678,1.594,0,11.143,2.833,2.708,0.592,1.0,4.955,3.628,0.537,5.708,2.4031,T
462,CAO_055,2,2.7,3.628,10.678,1.299,0,8.805,2.197,1.946,0.684,1.0,4.91,3.59,0.414,4.248,2.3345,T
463,CAO_058,2,2.697,3.628,10.671,0.724,0,6.468,1.386,0.0,0.811,0.75,4.908,3.586,0.25,3.25,2.3598,T
465,CAO_068,3,2.672,3.673,11.017,1.056,0,8.117,2.833,0.0,0.722,0.9,5.008,3.655,0.37,3.926,2.5185,T
466,CAO_073,2,2.598,3.628,10.678,1.414,0,9.584,2.708,2.565,0.65,1.0,4.954,3.628,0.435,4.622,2.4281,T
467,CAO_076,2,2.598,3.628,10.678,1.167,0,8.026,2.565,1.946,0.722,1.0,4.954,3.627,0.348,3.786,2.4669,T
471,DU1_002,3,2.85,3.583,11.379,0.529,0,6.558,0.0,0.0,0.811,0.417,5.006,3.625,0.222,3.285,2.4314,T
472,DU1_010,3,2.612,3.631,10.826,1.211,0,8.117,2.708,0.0,0.722,0.84,4.969,3.634,0.331,3.859,2.5944,T
473,FL_10,3,2.552,3.641,10.813,1.38,0,9.052,2.197,1.946,0.684,0.947,4.914,3.607,0.296,5.637,2.4686,T
474,FL_12,3,2.573,3.682,11.062,1.465,0,11.39,2.773,2.398,0.592,1.0,4.921,3.617,0.472,6.932,2.4268,T
475,FL_13,3,2.577,3.683,11.088,1.635,0,12.948,2.944,2.833,0.544,1.0,4.921,3.618,0.67,7.7,2.4119,T
477,FL_16,2,2.55,3.64,10.678,1.884,0,18.312,3.045,2.944,0.426,0.769,4.911,3.606,1.137,9.574,2.3466,T
478,FL_17,2,2.55,3.64,10.678,1.921,0,21.429,3.219,3.135,0.381,0.665,4.911,3.606,1.295,12.463,2.3388,T
479,FL_18,2,2.55,3.641,10.813,1.38,0,9.143,2.197,1.946,1.096,0.947,4.914,3.609,0.3,7.164,2.4364,T
480,FL_19,2,2.93,3.641,12.595,1.588,0,10.766,2.398,2.565,0.991,0.901,4.914,3.611,0.318,7.766,2.47,T
482,FL_21,2,2.549,3.641,10.812,1.732,0,11.662,2.485,2.303,1.095,0.962,4.912,3.607,0.259,9.003,2.3639,T
483,FL_22,2,2.551,3.641,11.049,2.093,0,12.442,2.708,2.565,1.103,0.966,4.914,3.613,0.362,10.237,2.3388,T
484,FL_23,1,2.368,3.771,9.153,0.0,0,4.974,0.0,0.0,0.918,0.333,4.466,3.403,0.129,3.149,2.452,T
486,FL_31,1,3.073,3.863,12.564,0.38,0,7.532,1.946,0.0,0.764,0.611,4.838,3.586,0.166,4.647,2.5013,T
487,FL_32,2,2.256,3.78,9.757,1.085,0,8.182,2.079,1.609,0.722,0.94,4.663,3.509,0.219,5.114,2.3732,T
488,FL_33,2,2.48,3.843,10.607,1.414,0,7.073,3.045,2.565,0.684,0.895,4.739,3.56,0.388,5.39,2.4817,T
489,FL_34,2,2.473,3.801,10.351,1.442,0,10.519,2.708,2.197,0.619,1.0,4.682,3.528,0.434,6.488,2.3205,T
493,FL_39,1,2.176,3.779,9.306,1.916,0,20.558,3.178,3.091,0.391,0.648,4.656,3.507,1.172,11.014,2.3184,T
494,KE_01,2,2.55,3.64,10.678,1.87,0,17.532,2.996,2.89,0.439,0.8,4.911,3.606,0.939,9.312,2.4594,T
495,KE_02,2,2.551,3.641,11.021,1.433,0,10.701,2.398,2.565,0.991,0.917,4.914,3.613,0.463,8.246,2.4609,T
496,KE_07,3,2.834,3.853,12.164,1.732,1,9.052,2.197,0.0,0.866,0.555,4.95,3.707,0.289,5.026,2.5944,T
497,KE_08,1,2.252,4.579,12.479,1.614,0,11.299,2.398,2.197,1.457,0.901,4.677,3.544,0.095,7.117,2.3711,T
499,KE_11,2,3.007,3.612,12.683,1.061,1,8.247,2.303,0.0,0.922,0.657,5.001,3.671,0.197,4.938,2.6365,T
501,WL07_03,2,2.468,3.698,10.209,0.485,1,7.247,2.079,0.0,0.986,0.889,4.708,3.553,0.224,4.54,2.5911,T
502,WL07_04,1,3.1,3.733,12.564,0.38,1,7.377,1.946,0.0,0.986,0.611,4.832,3.602,0.174,4.499,2.6031,T
503,WL07_05,1,2.606,3.804,11.164,1.532,1,10.429,2.833,1.946,0.773,0.834,4.815,3.65,0.394,5.907,2.5224,T
504,WL07_07,1,2.31,3.677,9.306,1.762,1,13.39,2.639,2.485,0.64,0.932,4.487,3.459,0.792,7.073,2.4472,T
506,WL07_09,2,2.321,3.677,9.754,1.368,1,8.805,2.197,2.197,0.866,0.947,4.652,3.521,0.309,5.226,2.5366,T
507,WL07_10,2,2.31,3.677,9.754,1.751,1,11.143,2.485,2.303,0.735,0.962,4.65,3.52,0.522,6.311,2.5119,T
508,WL07_11,2,2.311,3.677,9.754,1.67,1,10.364,2.398,2.197,0.773,0.958,4.65,3.52,0.388,5.706,2.5302,T
510,WL07_13,2,2.48,3.699,10.258,1.024,1,8.026,2.197,1.099,0.922,1.0,4.71,3.557,0.298,4.93,2.5798,T
512,WL07_16,1,2.31,3.677,9.306,1.887,1,18.065,3.045,2.944,0.513,0.726,4.65,3.52,1.039,9.312,2.2095,T
514,WL07_18,5,2.823,3.761,11.84,2.231,1,10.328,4.644,4.844,1.053,1.0,5.348,3.88,0.051,6.362,2.6749,T
516,WL07_20,5,2.783,3.806,11.921,2.253,1,11.258,4.682,4.949,1.014,1.0,5.348,3.886,0.004,7.656,2.6561,T
517,WL09_001,2,2.504,3.802,10.467,1.493,0,7.843,4.19,3.85,0.65,1.0,5.07,3.719,0.076,4.897,2.4456,T
518,WL09_002,4,2.855,3.851,11.84,2.093,0,10.34,5.187,5.638,0.523,1.0,5.422,3.917,-0.017,5.581,2.5832,T
519,WL09_004,2,2.371,3.811,10.209,0.485,0,7.403,2.079,0.0,0.764,0.889,4.714,3.539,0.242,4.728,2.3979,T
520,WL09_005,3,3.362,3.889,13.427,2.105,0,10.47,4.673,4.615,0.567,0.919,5.418,3.902,0.105,6.393,2.5378,T
523,WL09_008,3,2.445,3.852,10.958,1.894,0,8.434,4.419,4.205,1.041,1.0,5.231,3.815,-0.035,4.19,2.5198,T
526,WL09_012,2,2.473,4.151,10.351,1.442,1,10.455,2.944,2.565,0.991,1.0,4.77,3.585,0.293,5.835,2.5539,T
527,WL09_013,3,2.589,4.149,11.081,1.942,1,8.64,4.615,4.796,0.991,1.0,5.323,3.867,-0.091,4.564,2.5599,T
