No,logTg,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1
303,2.4594,0.037037037,0.542180811,0.630387931,0.567957897,0.349337748,0,0.089301469,0.146260314,0,0.786651455,0.714,0.621165644,0.615421228,0.479375697,0.946313932
304,2.3856,0.037037037,0.838076051,0.870689655,0.925463558,0.769246689,0,0.25444014,0.384615385,0.323005242,0.809469481,0.863,0.770449898,0.799143265,0.528799703,0.95097732
305,2.3385,0.037037037,0.547217326,0.629094828,0.569487791,0.554221854,0,0.149583797,0.292387543,0.226674432,0.482030804,1,0.621676892,0.617325083,0.582311408,0.948362953
306,2.4518,0.037037037,0.846638126,0.859698276,0.927727801,0.769246689,0,0.239499022,0.428400319,0,0.815173987,0.635,0.782208589,0.813898144,0.49795615,0.950142044
307,2.4886,0.037037037,0.547972803,0.629094828,0.569487791,0.677359272,0,0.295542598,0.39180197,0.329994176,0.258984598,0.787,0.621676892,0.616849119,0.829431438,0.95131615
308,2.4928,0.148148148,0.699068245,0.656681034,0.717397956,0.712127483,0,0.178276881,0.621905776,0.569598136,0.477467199,1,0.799591002,0.793907663,0.474916388,0.949716384
309,2.5315,0.148148148,0.693779904,0.647198276,0.713970993,0.716059603,0,0.178276881,0.619377163,0.57134537,0.477467199,1,0.79601227,0.792003808,0.466740988,0.949710721
310,2.5105,0.037037037,0.798539411,0.773060345,0.779817637,0.460471854,1,0.14908512,0.360393931,0.226674432,0.625213919,0.947,0.697852761,0.683960019,0.520252694,0.947757968
311,2.2967,0.037037037,0.547217326,0.629094828,0.569487791,0.511589404,0,0.134642679,0.276683524,0.208736168,0.502567028,1,0.621676892,0.616849119,0.533259012,0.947809878
312,2.3711,0.037037037,0.56232687,0.404310345,0.534667401,0.431912252,0,0.097280295,0.214133617,0,0,0.792,0.486451943,0.468824369,0.616127834,0.945201174
313,2.3502,0.037037037,0.784940821,0.857112069,0.925708341,0.783940397,0,0.327937397,0.469257386,0.323005242,0.831717056,0.876,0.75894683,0.798191337,0.507989595,0.95333025
314,2.3729,0.037037037,0.882145555,0.882327586,0.952389695,0.784354305,0,0.309505543,0.438647857,0.342923704,0.786081004,0.867,0.805470348,0.833412661,0.566332219,0.952728096
315,2.3766,0.074074074,0.872576177,0.870905172,0.93439814,0.771937086,0,0.289078983,0.422943838,0.336633663,0.794067313,0.893,0.78297546,0.811518325,0.533630621,0.952521401
316,2.3927,0.037037037,0.752455301,0.85,0.878098036,0.715645695,0,0.199393916,0.360393931,0.226674432,0.832857958,0.86,0.714468303,0.743931461,0.528056485,0.949385105
317,2.4265,0.037037037,0.542180811,0.613362069,0.534667401,0.546357616,0,0.128159883,0.330715997,0.255911474,0.411865374,1,0.630623722,0.6144693,0.617985879,0.946497032
318,2.4314,0.074074074,0.642155628,0.599137931,0.653448381,0.534147351,0,0.132897311,0.276683524,0.16144438,0.411865374,1,0.686860941,0.663969538,0.581196581,0.947602239
319,2.3997,0.074074074,0.786703601,0.842456897,0.860228872,0.768004967,0,0.234032759,0.377029545,0.307396622,0.815173987,0.885,0.713701431,0.742979534,0.544407284,0.950671524
320,2.3284,0,0.750692521,0.84762931,0.876996512,0.369826159,0,0.133894664,0,0,0.5653166,0.278,0.726482618,0.745359353,0.518766258,0.946234651
321,2.3054,0.037037037,0.545958197,0.719612069,0.569487791,0.511589404,0,0.142103648,0.276683524,0.208736168,0.660011409,1,0.621676892,0.616373156,0.513563731,0.947193567
